air_temp,cloud_opacity,precipitable_water,precipitation_rate,relative_humidity,wind_speed_10m,period_end,period
26,94.8,73,1.1,92.5,1.5,2020-01-01T01:00:00Z,PT60M
26,95.8,72.1,0.7,89.8,2.4,2020-01-01T02:00:00Z,PT60M
26,91.9,71.1,0.7,86.9,3,2020-01-01T03:00:00Z,PT60M
26,75.8,70.8,0.9,87.5,3.4,2020-01-01T04:00:00Z,PT60M
27,64.9,70.5,1.5,87,3.8,2020-01-01T05:00:00Z,PT60M
27,63,70.2,2,85.4,3.7,2020-01-01T06:00:00Z,PT60M
27,55.9,69.9,1.1,86.2,3,2020-01-01T07:00:00Z,PT60M
27,69.6,69.1,1.2,85.7,2.7,2020-01-01T08:00:00Z,PT60M
27,61.7,68.1,0.9,84.2,2.5,2020-01-01T09:00:00Z,PT60M
27,61,66.8,0.6,84.7,2,2020-01-01T10:00:00Z,PT60M
26,77.8,65.8,0.5,85.9,1.4,2020-01-01T11:00:00Z,PT60M
26,86.8,66.3,0.8,86.9,1,2020-01-01T12:00:00Z,PT60M
26,82.8,66.6,0.9,86.9,0.9,2020-01-01T13:00:00Z,PT60M
26,83.8,66.4,0.9,88.5,0.6,2020-01-01T14:00:00Z,PT60M
26,83.5,67,1.3,90.6,0.4,2020-01-01T15:00:00Z,PT60M
26,73.2,68.2,1.1,91.2,1,2020-01-01T16:00:00Z,PT60M
25,74.8,69.3,1.4,93.1,1.8,2020-01-01T17:00:00Z,PT60M
25,74,70.1,1.9,94.7,2.2,2020-01-01T18:00:00Z,PT60M
25,50.9,70.1,1.4,94.7,2,2020-01-01T19:00:00Z,PT60M
25,53.6,69.5,1.2,94.5,1.8,2020-01-01T20:00:00Z,PT60M
25,51.5,68.5,0.6,93.9,1.7,2020-01-01T21:00:00Z,PT60M
25,73.8,67.4,0.3,92.2,1.6,2020-01-01T22:00:00Z,PT60M
25,66,66.9,0.3,91.1,1.5,2020-01-01T23:00:00Z,PT60M
25,57.5,67.1,0.1,91.7,1.4,2020-01-02T00:00:00Z,PT60M
25,17.8,67,0.1,90.6,1.6,2020-01-02T01:00:00Z,PT60M
27,21,66.6,0.2,84.9,2.6,2020-01-02T02:00:00Z,PT60M
28,44.9,66.2,0.2,80.3,3.9,2020-01-02T03:00:00Z,PT60M
28,49.3,66.1,0.1,79.2,4.3,2020-01-02T04:00:00Z,PT60M
29,50.3,66.2,0.1,76.3,4.2,2020-01-02T05:00:00Z,PT60M
30,19.5,65.8,0.9,73.4,4.3,2020-01-02T06:00:00Z,PT60M
30,8.5,66.1,0,73,4.1,2020-01-02T07:00:00Z,PT60M
30,4.8,67.2,0.5,73.3,3.9,2020-01-02T08:00:00Z,PT60M
29,29.3,67.5,0.9,73.9,3.6,2020-01-02T09:00:00Z,PT60M
28,36.7,67.7,1.2,77.8,3.3,2020-01-02T10:00:00Z,PT60M
27,57.3,68.1,1.8,83.2,2.4,2020-01-02T11:00:00Z,PT60M
27,18.3,67.8,0.1,84.9,1.7,2020-01-02T12:00:00Z,PT60M
27,9.9,67.2,0,85.2,1.8,2020-01-02T13:00:00Z,PT60M
26,29.3,67,0,87.2,2,2020-01-02T14:00:00Z,PT60M
26,17.1,67,0,89,2,2020-01-02T15:00:00Z,PT60M
26,39.9,66.9,0,89.6,2.1,2020-01-02T16:00:00Z,PT60M
26,40,66.7,0,89.5,2.3,2020-01-02T17:00:00Z,PT60M
26,38.3,66.1,0.1,89.3,2.5,2020-01-02T18:00:00Z,PT60M
26,0,65.8,0,88.7,2.4,2020-01-02T19:00:00Z,PT60M
26,0,66,0,89.3,2.4,2020-01-02T20:00:00Z,PT60M
25,0,66.3,0.2,90.6,2.4,2020-01-02T21:00:00Z,PT60M
25,0,66.8,0.3,90.1,2.4,2020-01-02T22:00:00Z,PT60M
26,0.2,67,0.8,88.7,2.5,2020-01-02T23:00:00Z,PT60M
26,30.2,66.4,1,88.7,2.6,2020-01-03T00:00:00Z,PT60M
26,42.2,66,0.1,88.7,2.8,2020-01-03T01:00:00Z,PT60M
27,27.3,66.6,0.3,84.2,3.4,2020-01-03T02:00:00Z,PT60M
28,60.5,67.4,1.2,80.6,4,2020-01-03T03:00:00Z,PT60M
28,61.9,67.5,2.1,80.3,4.6,2020-01-03T04:00:00Z,PT60M
28,41.8,69,2.5,78.9,4.6,2020-01-03T05:00:00Z,PT60M
29,36.1,69,0.1,76.4,4.1,2020-01-03T06:00:00Z,PT60M
29,38.6,66.6,0.2,73.6,3.7,2020-01-03T07:00:00Z,PT60M
30,42.7,65.7,0,71.1,3.6,2020-01-03T08:00:00Z,PT60M
30,45,65.8,0,69.9,3.7,2020-01-03T09:00:00Z,PT60M
29,42.4,66.2,0.9,74.1,3.3,2020-01-03T10:00:00Z,PT60M
28,51.7,66.8,0.2,79.5,2.5,2020-01-03T11:00:00Z,PT60M
28,20.1,66.4,0,80.8,2,2020-01-03T12:00:00Z,PT60M
28,0,65.5,0,81.5,2.1,2020-01-03T13:00:00Z,PT60M
27,0,65.3,0.2,83.7,2.3,2020-01-03T14:00:00Z,PT60M
27,0,65.7,0.1,85.9,2.5,2020-01-03T15:00:00Z,PT60M
27,0,66.4,0.7,87,2.7,2020-01-03T16:00:00Z,PT60M
26,0,67,1.5,88.8,2.8,2020-01-03T17:00:00Z,PT60M
26,1.2,67.2,0.7,89.5,2.6,2020-01-03T18:00:00Z,PT60M
26,39.4,66.9,0.5,89.3,2.5,2020-01-03T19:00:00Z,PT60M
26,39.3,66.1,0.3,90.3,2.3,2020-01-03T20:00:00Z,PT60M
25,40,66,0.3,91.7,2.2,2020-01-03T21:00:00Z,PT60M
25,40.2,66.7,0.5,91.2,2.5,2020-01-03T22:00:00Z,PT60M
26,28.1,66.5,0.3,90.1,2.6,2020-01-03T23:00:00Z,PT60M
26,59.6,65.5,0,89.3,2.6,2020-01-04T00:00:00Z,PT60M
26,65.3,64.9,0.1,88.2,2.4,2020-01-04T01:00:00Z,PT60M
27,72.2,64.8,0.2,84.9,2.9,2020-01-04T02:00:00Z,PT60M
28,68.7,65.4,0.3,82.3,4.1,2020-01-04T03:00:00Z,PT60M
28,72.1,66.3,0.8,81.3,4.7,2020-01-04T04:00:00Z,PT60M
28,61,66.6,3.3,80.2,4.8,2020-01-04T05:00:00Z,PT60M
29,78.1,66.4,0.5,79.3,4.7,2020-01-04T06:00:00Z,PT60M
29,39,66.2,0.1,77.9,4.1,2020-01-04T07:00:00Z,PT60M
30,26.5,65.7,0.2,75.9,3.4,2020-01-04T08:00:00Z,PT60M
30,42,65.3,0.3,75,3.4,2020-01-04T09:00:00Z,PT60M
29,67.3,64.9,0.1,77.5,3.1,2020-01-04T10:00:00Z,PT60M
29,69.5,65,0.5,80.7,2.2,2020-01-04T11:00:00Z,PT60M
28,26.8,66.3,3.3,84.5,2,2020-01-04T12:00:00Z,PT60M
27,25.5,66.1,1.1,87.3,1.8,2020-01-04T13:00:00Z,PT60M
27,41.4,65.7,0,86.7,1.8,2020-01-04T14:00:00Z,PT60M
27,38.8,66.5,0.1,85.9,2.2,2020-01-04T15:00:00Z,PT60M
26,40,66.5,0.1,85.9,2.7,2020-01-04T16:00:00Z,PT60M
26,40,66,0.1,87.2,3.1,2020-01-04T17:00:00Z,PT60M
26,41.4,65.9,0.1,88.5,3.3,2020-01-04T18:00:00Z,PT60M
26,71.8,65.8,0.1,89.3,3.3,2020-01-04T19:00:00Z,PT60M
26,66.6,65.7,0.5,90.3,3.5,2020-01-04T20:00:00Z,PT60M
25,62.6,66.6,0.9,91.1,3.9,2020-01-04T21:00:00Z,PT60M
26,62.1,68.9,0.7,91.2,3.6,2020-01-04T22:00:00Z,PT60M
26,63.6,70.9,0.1,90.6,3,2020-01-04T23:00:00Z,PT60M
26,36.2,71.7,0.1,89.8,3.4,2020-01-05T00:00:00Z,PT60M
26,84.6,71.7,0.3,89,4,2020-01-05T01:00:00Z,PT60M
26,95.2,71.5,0.5,87.5,4.3,2020-01-05T02:00:00Z,PT60M
27,94.9,70.3,0.4,84.7,4.4,2020-01-05T03:00:00Z,PT60M
27,91.8,68.2,1,83.2,4.5,2020-01-05T04:00:00Z,PT60M
27,72.1,66.7,0.2,81.5,4.6,2020-01-05T05:00:00Z,PT60M
28,76.9,66,0.2,78.7,4.8,2020-01-05T06:00:00Z,PT60M
28,72.1,66,0.2,78.2,4.9,2020-01-05T07:00:00Z,PT60M
28,71.3,65.9,0.3,79.9,4.4,2020-01-05T08:00:00Z,PT60M
28,81.2,65.3,2,79.9,3.5,2020-01-05T09:00:00Z,PT60M
28,84.1,65.4,0.8,82.5,2.1,2020-01-05T10:00:00Z,PT60M
27,73.2,65.4,0,86.5,1.1,2020-01-05T11:00:00Z,PT60M
27,31.8,65,0,86.7,1.5,2020-01-05T12:00:00Z,PT60M
27,40.9,65.4,0,86.5,1.5,2020-01-05T13:00:00Z,PT60M
27,40.2,66.2,0,86.7,1.8,2020-01-05T14:00:00Z,PT60M
27,40.8,66.5,0,87.2,2,2020-01-05T15:00:00Z,PT60M
26,59.8,66.6,0,87.2,2.2,2020-01-05T16:00:00Z,PT60M
26,59.3,67,0.1,88,2.2,2020-01-05T17:00:00Z,PT60M
26,59.3,66.8,0.1,89.3,2.4,2020-01-05T18:00:00Z,PT60M
26,59.9,66.4,0.7,90.4,2.9,2020-01-05T19:00:00Z,PT60M
26,60.4,66.1,0.7,91.7,2.8,2020-01-05T20:00:00Z,PT60M
25,59.8,66,0.7,92,2.8,2020-01-05T21:00:00Z,PT60M
25,68.3,67,0.5,90.9,2.8,2020-01-05T22:00:00Z,PT60M
25,54.9,67.8,0.1,90.3,2.6,2020-01-05T23:00:00Z,PT60M
25,78.2,67.2,0.2,90.3,2.7,2020-01-06T00:00:00Z,PT60M
25,86.9,67,0.2,90.6,3.1,2020-01-06T01:00:00Z,PT60M
26,81.2,66.8,0.3,87,3.3,2020-01-06T02:00:00Z,PT60M
27,59.2,66,0.4,82.2,3.2,2020-01-06T03:00:00Z,PT60M
28,58.3,65.2,0.5,80.3,3,2020-01-06T04:00:00Z,PT60M
28,24.4,64.2,0.7,77.8,3.1,2020-01-06T05:00:00Z,PT60M
29,36.4,63.7,0.2,76,3.4,2020-01-06T06:00:00Z,PT60M
29,62.5,64.8,0.2,75.6,3.5,2020-01-06T07:00:00Z,PT60M
29,57.6,67.3,0.8,75.9,3.2,2020-01-06T08:00:00Z,PT60M
29,48.5,70.6,1.1,76.1,2.6,2020-01-06T09:00:00Z,PT60M
28,65.4,72.3,3.4,82.1,2.6,2020-01-06T10:00:00Z,PT60M
